ID,ideology,leadership,name,party,description,introduced_bills_118,cosponsored_bills_118,unique_cosponsors_118,total_cosponsors_118
400349,0.2958065713966707,0.13856322437974647,Ruppersberger,Democrat,moderate Democratic follower,3,319,18,20
412750,0.12145719498399946,0.3976463291119595,Scanlon,Democrat,progressive Democrat,16,471,104,182
412534,0.3361386768004835,0.9148041995197901,Schneider,Democrat,centrist Democratic leader,25,371,207,455
412799,0.31810062871651357,0.6289221545620487,Sherrill,Democrat,centrist Democrat,36,399,218,537
412833,0.41610595326860367,0.6631557214428583,Spanberger,Democrat,centrist Democrat,36,331,240,484
412753,0.3371307839062347,0.4498736285203725,Stanton,Democrat,centrist Democrat,24,229,120,166
400355,0.17086494548757244,0.8366821157693092,Sánchez,Democrat,moderate Democratic leader,20,480,266,829
412319,0.201964233385051,0.8360691799146625,Tonko,Democrat,moderate Democratic leader,27,614,236,479
412781,0.2177848802887414,0.5001743915741188,Trahan,Democrat,rank-and-file Democrat,14,378,165,223
412751,0.30056506400755506,0.6139664461152414,Wild,Democrat,rank-and-file Democrat,17,518,230,359
400111,0.2184151559656608,0.8242262636128717,Doggett,Democrat,moderate Democratic leader,24,406,224,961
412434,0.7348809231840234,0.2653803078910354,Harris,Republican,rank-and-file Republican,2,210,0,0
412674,0.6084517747613609,0.8297313782983282,LaHood,Republican,moderate Republican leader,35,224,386,1204
400380,0.6128083689715219,0.9450841511126075,Smith [NJ4],Republican,moderate Republican leader,52,370,351,819
412548,0.6432379971467005,0.7353059998718207,Wagner,Republican,moderate Republican leader,23,154,325,581
412564,0.6973607543746585,0.6755982659891243,Wenstrup,Republican,moderate Republican leader,33,250,314,687
412691,0.736391588541734,0.348588758715934,Dunn,Republican,rank-and-file Republican,19,352,160,235
412660,0.7283019172406997,0.6433458317263155,Newhouse,Republican,moderate Republican leader,42,312,261,708
412802,0.41482369627509635,0.5932949165996111,Lee [NV3],Democrat,centrist Democrat,22,344,163,282
412769,0.258995454368634,0.6374752055755885,McBath,Democrat,rank-and-file Democrat,18,312,237,559
400308,0.22145493142650824,0.677414782100253,Pallone,Democrat,rank-and-file Democrat,18,230,173,327
412835,0.3433365982244092,0.43613138821305353,Schrier,Democrat,centrist Democrat,22,297,115,188
400363,0.2460455724184599,0.5909621849730965,Scott [GA13],Democrat,rank-and-file Democrat,14,262,141,269
412318,0.220930457884353,0.7105396668173913,Titus,Democrat,rank-and-file Democrat,41,791,251,594
412796,0.7124225741323095,0.6261559996880659,Van Drew,Republican,moderate Republican leader,50,469,119,190
412763,0.09498417094695373,0.6490396921408583,Hayes,Democrat,progressive Democrat,30,657,200,744
400402,0.15970049140563358,0.5828350233488159,Thompson [MS2],Democrat,progressive Democrat,13,352,113,203
412777,0.7568799556106918,0.4481051298307255,Baird,Republican,conservative Republican,16,338,170,251
412746,0.7315738226707474,0.5924875455363057,Cloud,Republican,rank-and-file Republican,16,195,173,463
412824,0.2747397417002691,0.5282834858178725,Fletcher,Democrat,rank-and-file Democrat,10,309,201,262
412723,0.5072223210039695,0.34486271180458067,González-Colón,Republican,centrist Republican,45,295,91,175
400247,0.5361039844056086,0.42256433509074,Lucas,Republican,centrist Republican,22,75,122,191
412738,0.9784224123755049,0.5922769753518435,Norman,Republican,conservative Republican,22,473,173,357
412786,0.2706058248416034,0.5455706058938431,Stevens,Democrat,rank-and-file Democrat,28,420,271,435
412574,1.0,0.5942401118631675,Weber,Republican,conservative Republican,20,626,307,547
412615,0.21111659626474935,0.30824426057961934,Aguilar,Democrat,moderate Democratic follower,26,135,80,104
412625,0.7599112113273897,0.4074224901590115,Allen,Republican,conservative Republican,18,223,145,376
412541,0.6886964932620139,0.6959423914136589,Barr,Republican,moderate Republican leader,42,280,223,528
400654,0.5958629439746641,0.9942123161223263,McCaul,Republican,moderate Republican leader,31,224,434,1881
400411,0.516121571393494,0.22841661338408017,Turner,Republican,centrist Republican follower ,15,148,94,109
412610,0.6710054032872722,0.6009442110282421,Westerman,Republican,rank-and-file Republican,15,160,123,205
400077,0.5901628525036913,0.344155407015328,Cole,Republican,rank-and-file Republican,28,171,86,134
400075,0.2808192904958508,0.5685467913151152,Clyburn,Democrat,rank-and-file Democrat,7,106,169,186
412819,0.7039789430581572,0.567412696706531,Green [TN7],Republican,rank-and-file Republican,44,208,178,456
412261,0.5205784370985107,0.48589955902693127,Scalise,Republican,centrist Republican,12,32,88,109
412702,0.780356401906673,0.7634616112884375,Banks,Republican,conservative Republican leader,43,226,244,541
412675,0.6854637002209548,0.4698016363943297,Davidson,Republican,rank-and-file Republican,38,178,159,359
412706,0.7153389683654736,0.534082846212429,Johnson [LA4],Republican,rank-and-file Republican,11,126,148,200
412673,0.6739109219098081,0.3720778274514784,Kelly [MS1],Republican,rank-and-file Republican,13,209,60,80
412624,0.6673834633917569,0.2800206490534225,Loudermilk,Republican,rank-and-file Republican,13,177,64,77
412295,0.6620034229321781,0.7091741686825912,McClintock,Republican,moderate Republican leader,20,167,271,364
412811,0.7549631573079011,0.3759892753420327,Meuser,Republican,conservative Republican,29,392,102,176
412608,0.6455176042722399,0.39618583048639905,Palmer,Republican,rank-and-file Republican,39,136,55,66
412641,0.7743960016367772,0.29045176449748733,Rouzer,Republican,conservative Republican,22,330,113,159
412659,0.27361742128794864,0.31183905942194906,Plaskett,Democrat,moderate Democratic follower,26,190,57,71
412776,0.23335329319266498,0.6789913002444796,Underwood,Democrat,rank-and-file Democrat,28,209,212,821
412579,0.2916867826305503,0.4675764084151209,Veasey,Democrat,rank-and-file Democrat,14,387,113,213
412500,0.5487095542189298,0.18522483078093488,Amodei,Republican,centrist Republican follower ,14,189,39,48
412726,0.6542689111055656,0.8009964278777498,Arrington,Republican,moderate Republican leader,52,161,386,835
412844,0.7384815063753379,0.5549971401694157,Bishop [NC8],Republican,rank-and-file Republican,12,228,116,261
412629,0.750084287078466,0.619251298557342,Bost,Republican,conservative Republican,34,349,237,453
412196,0.60396548598735,0.7508615753034298,Buchanan,Republican,moderate Republican leader,36,223,367,691
400057,0.6278493475017496,0.4857025228982318,Calvert,Republican,rank-and-file Republican,21,193,148,224
412622,0.7570784452518059,0.7503746725796759,Carter [GA1],Republican,conservative Republican leader,54,394,327,852
400068,0.5885868761464388,0.11060590899424051,Carter [TX31],Republican,moderate Republican follower,9,140,38,49
412676,0.5746942202626383,0.480073271297503,Comer,Republican,rank-and-file Republican,16,88,180,363
412400,0.7297118412707171,0.49592126113226304,Crawford,Republican,rank-and-file Republican,23,194,215,385
412820,0.7847950069709521,0.4777850899935328,Crenshaw,Republican,conservative Republican,25,394,128,240
400657,0.4802688275472594,0.38518276083431296,Cuellar,Democrat,centrist Democrat,11,246,111,134
412780,0.32776124974799964,0.55933282652365,Davids,Democrat,centrist Democrat,14,397,224,432
412472,0.8942588524622853,0.6790997499544846,Duncan,Republican,conservative Republican leader,28,439,188,611
412639,0.6636994559892649,0.5394849106851546,Emmer,Republican,rank-and-file Republican,12,81,186,397
412700,0.634166022384616,0.4612572308937782,Ferguson,Republican,rank-and-file Republican,16,200,135,194
400643,0.6209734465988581,0.583330635140591,Foxx,Republican,rank-and-file Republican,16,132,196,285
412731,0.5994367392529875,0.6256631580552782,Gallagher,Republican,moderate Republican leader,44,153,179,310
456792,0.5622093458173714,0.3022941304430878,Garcia [CA27],Republican,centrist Republican,25,167,104,135
412842,0.4624889277569254,0.3980055010023804,Golden,Democrat,centrist Democrat,22,231,29,43
412822,0.768621350699638,0.4926121161957789,Gooden,Republican,conservative Republican,17,310,192,330
412397,0.8447489798461361,0.5266256896505118,Gosar,Republican,conservative Republican,20,394,126,264
412714,0.5026186734655376,0.7469911695892684,Gottheimer,Democrat,centrist Democrat,36,1008,353,943
400157,0.5203926571877497,0.3809872745497924,Granger,Republican,centrist Republican,8,99,159,170
412661,0.8135133069437998,0.6676065643167768,Grothman,Republican,conservative Republican leader,31,373,292,531
412793,0.7882482810138288,0.6009745989106481,Guest,Republican,conservative Republican,15,351,195,415
412278,0.6307993297517145,0.42832649735307693,Guthrie,Republican,rank-and-file Republican,25,179,187,341
412609,0.6205223175235867,0.5099835207273364,Hill,Republican,rank-and-file Republican,25,184,73,116
412550,0.7284039121212518,0.641534261034231,Hudson,Republican,moderate Republican leader,23,271,235,345
412816,0.6661399940743982,0.6788564751480499,Johnson [SD0],Republican,moderate Republican leader,33,202,222,411
412226,0.5625828154607387,0.14882791899258294,Jordan,Republican,centrist Republican follower ,4,45,20,21
412812,0.6850657751222275,0.3821134921108586,Joyce [PA13],Republican,rank-and-file Republican,18,171,180,280
412465,0.6909050650404008,0.767378463356441,Kelly [PA16],Republican,moderate Republican leader,37,310,365,1040
412191,0.8174162857197078,0.39479561223337434,Lamborn,Republican,conservative Republican,13,349,89,128
412256,0.6613093848095803,0.5590916323171746,Latta,Republican,rank-and-file Republican,18,149,129,172
412292,0.6336257375458548,0.5,Luetkemeyer,Republican,rank-and-file Republican,36,175,106,186
400644,0.5110840708727653,0.6583792329153461,McHenry,Republican,centrist Republican leader,22,67,308,389
412845,0.7063958585370216,0.5543711756666599,Murphy,Republican,rank-and-file Republican,29,237,185,333
412778,0.6041162650398626,0.26638018915213235,Pence,Republican,rank-and-file Republican,8,141,54,64
412569,0.7852277182848068,0.4215065308591191,Perry,Republican,conservative Republican,38,215,62,140
412664,0.44456930618142854,0.01667308987721449,Radewagen,Republican,centrist Republican follower ,4,170,3,3
400340,0.4987574414506838,0.0391044405684047,Rogers [KY5],Republican,centrist Republican follower ,8,76,17,21
400341,0.6036494969916825,0.17127430213588313,Rogers [AL3],Republican,moderate Republican follower,5,149,14,16
412417,0.6794773997014397,0.3101839800891823,Scott [GA8],Republican,rank-and-file Republican,7,215,55,84
412217,0.7038289989722069,0.6587009358116961,Smith [NE3],Republican,moderate Republican leader,38,231,308,752
412792,0.7087360116749784,0.5709181896061494,Stauber,Republican,rank-and-file Republican,24,326,162,242
412648,0.7461111945859703,0.8179490642814382,Stefanik,Republican,conservative Republican leader,54,332,254,643
412581,0.5899464435430366,0.2952201150228041,Stewart,Republican,rank-and-file Republican,13,66,8,10
412317,0.6671538301763872,0.5980318102533826,Thompson [PA15],Republican,rank-and-file Republican,30,297,238,523
412815,0.7295873647309272,0.13784251433985686,Timmons,Republican,moderate Republican follower,11,260,26,32
412213,0.6736966952789977,0.6308605325684277,Walberg,Republican,moderate Republican leader,32,210,221,409
412578,0.747037658273271,0.4118904935923276,Williams [TX25],Republican,conservative Republican,28,215,135,217
400433,0.6986933129899136,0.8116458820399819,Wilson [SC2],Republican,moderate Republican leader,26,348,311,720
412402,0.6202415193457892,0.5288366431760592,Womack,Republican,rank-and-file Republican,10,145,235,270
412739,0.1588397926868599,0.6682261680413982,Gomez,Democrat,progressive Democrat,18,388,210,726
400004,0.6329410392541007,0.32435374902713854,Aderholt,Republican,rank-and-file Republican,8,162,121,174
412794,0.6487304633575407,0.4276734402461494,Armstrong,Republican,rank-and-file Republican,26,252,128,176
412619,0.6537219506014077,0.4874680596806252,Buck,Republican,rank-and-file Republican,17,102,171,205
412817,0.6717577422461404,0.3320760553645819,Burchett,Republican,rank-and-file Republican,27,215,82,124
412735,0.634260435828111,0.5512796085003843,Estes,Republican,rank-and-file Republican,15,171,240,305
412773,0.6668341333614459,0.22408147770258485,Fulcher,Republican,moderate Republican follower,14,175,77,95
412813,0.7739986294183444,0.5625043240892303,Reschenthaler,Republican,conservative Republican,25,381,283,350
412826,0.7461699944763582,0.698331394149433,Roy,Republican,conservative Republican leader,47,671,178,843
412724,0.6822419087204459,0.5426207443615423,Kustoff,Republican,rank-and-file Republican,27,217,170,263
412477,0.6746138669057999,0.18886805243218635,DesJarlais,Republican,moderate Republican follower,4,141,21,21
412705,0.7696340216777342,0.5058228289037889,Higgins [LA3],Republican,conservative Republican,38,346,116,219
412722,0.6195852927225827,0.5151211350198764,Smucker,Republican,rank-and-file Republican,28,216,225,346
412399,0.5795722144637191,0.2816343467812026,Schweikert,Republican,rank-and-file Republican,25,117,80,107
400314,0.32006387651677926,0.4491211283209826,Pelosi,Democrat,centrist Democrat,2,92,0,0
